,Modelo,Accuracy,Precision,Recall,F1-Score
0,Random Forest,0.965,0.9650160885714381,0.965,0.9649872564398541
1,SVM,0.9743571428571428,0.9743395963932587,0.9743571428571428,0.9743364400508473
2,MLP,0.9765714285714285,0.9766150547277828,0.9765714285714285,0.9765511980393025
